time_s,step,error_m
0.425,1,0.575764
0.528,2,0.360463
0.561,3,0.227232
0.695,4,0.176561
0.724,5,0.121841
0.750,6,0.146652
0.773,7,0.206216
0.901,8,0.332891
1.014,9,0.294337
1.047,10,0.204776
1.079,11,0.229160
1.107,12,0.284258
1.241,13,0.382038
1.366,14,0.211799
1.492,15,0.192579
1.598,16,0.611063
1.705,17,0.428031
1.840,18,0.398124
1.979,19,0.322083
2.102,20,0.416029
2.232,21,0.720334
2.346,22,0.359791
2.464,23,0.246052
2.599,24,0.322946
2.748,25,0.338150
2.883,26,0.255921
3.007,27,0.170894
3.123,28,0.045075
3.231,29,0.337467
3.365,30,0.353992
3.500,31,0.124365
3.670,32,0.277271
3.819,33,0.328945
3.936,34,0.569373
3.958,35,0.416009
3.985,36,0.115746
4.020,37,0.225941
4.050,38,0.141488
4.079,39,0.264699
4.107,40,0.324174
4.136,41,0.193777
4.169,42,0.120611
4.203,43,0.072545
4.243,44,0.045664
4.277,45,0.091683
4.310,46,0.114963
4.365,47,0.240921
4.426,48,0.273576
4.490,49,0.267722
4.550,50,0.254315
4.618,51,0.202566
4.675,52,0.097310
4.740,53,0.240142
4.903,54,0.144698
5.060,55,0.152444
7.070,56,0.256966
7.226,57,0.187185
7.290,58,0.186528
7.358,59,0.134082
7.429,60,0.269320
7.523,61,0.195852
7.585,62,0.094587
7.720,63,0.315994
7.883,64,0.431981
8.010,65,0.268003
8.150,66,0.090880
8.287,67,0.276975
8.443,68,0.408942
8.569,69,0.281078
8.698,70,0.091065
8.830,71,0.207604
8.951,72,0.050005
9.071,73,0.243577
9.213,74,0.336462
9.345,75,0.376423
9.470,76,0.383109
9.595,77,0.304620
9.720,78,0.182405
9.870,79,0.144740
9.912,80,0.108295
10.084,81,0.057370
10.231,82,0.012268
10.373,83,0.087310
10.508,84,0.092139
10.641,85,0.199972
10.786,86,0.058679
10.926,87,0.176190
11.063,88,0.152016
11.205,89,0.157456
11.350,90,0.161711
11.490,91,0.174610
11.630,92,0.226456
11.771,93,0.095400
11.904,94,0.234949
12.054,95,0.337681
12.207,96,0.174567
12.353,97,0.380456
12.488,98,0.519031
12.628,99,0.237835
12.779,100,0.238841
12.918,101,0.123553
13.092,102,0.261352
13.253,103,0.251646
13.427,104,0.256462
13.465,105,0.348936
13.500,106,0.438518
13.529,107,0.330049
13.557,108,0.344483
13.588,109,0.418900
13.640,110,0.248774
13.683,111,0.106242
13.713,112,0.115114
13.876,113,0.133790
14.060,114,0.076557
14.087,115,0.177502
14.114,116,0.306682
14.145,117,0.363095
14.176,118,0.206628
14.231,119,0.132866
14.270,120,0.266939
14.302,121,0.198427
14.340,122,0.240683
14.382,123,0.128361
14.446,124,0.104604
14.511,125,0.242952
14.697,126,0.144330
14.883,127,0.079739
15.992,128,0.159568
16.066,129,0.272339
16.100,130,0.346706
16.250,131,0.228001
16.304,132,0.025027
16.337,133,0.186107
16.369,134,0.252762
16.407,135,0.094223
16.446,136,0.224199
16.513,137,0.215291
16.694,138,0.356399
19.367,139,0.261726
19.446,140,0.184366
19.505,141,0.193504
19.543,142,0.474364
19.620,143,0.377567
19.801,144,0.302668
19.991,145,0.476475
20.167,146,0.266234
20.343,147,0.356623
20.513,148,0.195289
20.676,149,0.222979
20.855,150,0.137224
21.007,151,0.250871
21.181,152,0.226012
21.336,153,0.333795
21.511,154,0.251472
21.671,155,0.034844
21.849,156,0.076905
22.043,157,0.106929
22.214,158,0.153430
22.383,159,0.225775
22.548,160,0.294152
22.711,161,0.190382
22.887,162,0.287597
23.053,163,0.262693
23.084,164,0.202714
23.253,165,0.188109
23.419,166,0.211483
23.599,167,0.111753
23.764,168,0.009068
23.941,169,0.052837
24.113,170,0.117778
24.291,171,0.360810
24.465,172,0.227186
24.644,173,0.089619
24.818,174,0.399607
25.001,175,0.139305
25.181,176,0.127302
25.370,177,0.052309
25.549,178,0.235115
25.730,179,0.230274
25.902,180,0.099725
26.075,181,0.194468
26.246,182,0.322588
26.434,183,0.290789
26.613,184,0.249065
