Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta
1,-0.7610618463155702,-2.6059800119398986,-1.5701342433872592,0.08453068828930468,-1.1223579780620776,1.6783952912339901
2,-0.7610611256127733,-2.606074501117635,-1.5701267003866919,-0.636417663660912,-2.202976071237197,0.350539900348192
3,-0.7610601252513701,-2.6061506878802483,-1.5701142274254187,-0.09918402604323226,-2.000103894096727,0.35906085528548726
4,-0.7610588760556056,-2.606211149504074,-1.5701000651228667,-0.2775716973269793,-2.0833938292732705,0.3914165693362145
5,-0.761057443652183,-2.6062589368501268,-1.5700842187816209,-0.5224679266996695,-2.1940229386040064,0.6127494481485056
6,-0.7610558616071914,-2.6062966962247067,-1.5700669699441465,-0.7227410442351212,-2.3796125715235545,0.8039862108219008
7,-0.7610541566211176,-2.6063265552103605,-1.570048548187476,-0.749999040848058,-2.3884432056965403,0.8370300960068066
8,-0.7610523500368448,-2.6063501947834418,-1.5700291390571341,-0.783439950861741,-2.433329811815553,0.8077247717608065
9,-0.761050458896855,-2.6063689386436844,-1.5700088929952334,-0.7840271970041465,-2.4998358751637966,0.8552411423562131
10,-0.7610484968011209,-2.606383828671801,-1.5699879320168293,-0.7758173412494794,-2.5147502666422565,0.9588002826430029
11,-0.7610464745960827,-2.6063956849800682,-1.5699663550267184,-0.7656624179537432,-2.5264439783846284,0.9633777813449877
12,-0.7610444009260832,-2.606405153195669,-1.5699442421297027,-0.7613466376877631,-2.5270756753391606,1.0563727978755142
13,-0.7610422826744015,-2.6064127416350575,-1.5699216581376285,-0.7605680559070779,-2.518897806839314,1.1398517458834425
14,-0.7610401253159328,-2.606418850534893,-1.569898655424797,-0.7854521817591167,-2.566322345074097,1.1515803475060398
15,-0.7610379331992062,-2.6064237950455,-1.5698752762528343,-0.7626099732474605,-2.5287533789955026,1.1545638872403
16,-0.761035709771896,-2.6064278233239944,-1.569851554663292,-0.7982577125947747,-2.533586513824231,1.1436832444768867
17,-0.7610334577611472,-2.6064311307752916,-1.5698275180179535,-0.8243751752093097,-2.5331293157694623,1.2270669253060011
18,-0.7610311793177676,-2.6064338712634685,-1.5698031882520862,-0.8257428369224218,-2.5869944592056107,1.3636448910301935
19,-0.7610288761315299,-2.606436165939352,-1.5697785828937862,-0.81828751101627,-2.5824263689892843,1.4158562805593524
20,-0.7610265495233681,-2.60643811019196,-1.5697537158927775,-0.8264985259945988,-2.5817772250737963,1.4010624515974235
21,-0.7610242005191008,-2.6064397791229266,-1.5697285982940647,-0.8218922480806461,-2.543023429329507,1.4346920016281144
22,-0.761021829908381,-2.60644123185796,-1.5697032387852634,-0.823268409704758,-2.56920488446294,1.4512654125862976
23,-0.761019438291833,-2.6064425149424473,-1.5696776441411275,-0.8069340681524925,-2.5921810445917925,1.522093210835429
24,-0.7610170261187446,-2.6064436650157696,-1.5696518195844458,-0.7962853962280758,-2.5892566229545046,1.507306451212887
25,-0.7610145937172025,-2.606444710917521,-1.5696257690789441,-0.7934214749497223,-2.567909985409161,1.4953777270046733
26,-0.761012141318191,-2.606445675346257,-1.569599495566893,-0.8170397306356453,-2.5540393454445245,1.5132239161652685
27,-0.7610096690748591,-2.6064465761657947,-1.5695730011617857,-0.7957956301699391,-2.5447975642649587,1.5590158686370532
28,-0.761007177077925,-2.606447427433908,-1.5695462873045567,-0.795530461670572,-2.6121960906947614,1.62426585629686
29,-0.7610046653679926,-2.606448240212365,-1.56951935489014,-0.8040074175345842,-2.616114531901969,1.7242353076723675
30,-0.7610021339453983,-2.6064490232047457,-1.5694922043700146,-0.7827901828598351,-2.6273378950842097,1.7729930957832338
31,-0.7609995827780834,-2.606449783258629,-1.5694648358352072,-0.7616057969532161,-2.614958180531376,1.8076720728889246
32,-0.7609970118078866,-2.606450525760958,-1.5694372490835051,-0.7837331478003974,-2.618809721594282,1.7854493824273887
33,-0.7609944209555739,-2.6064512549492758,-1.569409443673816,-0.81929365606431,-2.581977947027195,1.8151873215743197
34,-0.7609918101248593,-2.606451974156734,-1.5693814189701518,-0.7997575830169007,-2.5492091723136805,1.9249916725481109
35,-0.7609891792056179,-2.606452686004927,-1.5693531741771738,-0.7900036971345231,-2.560984428784788,1.8665221289299903
