Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta,RMSE
1,0.208525,-2.60874,-1.5701100500510705,0.17303686801758622,-0.6225094853097077,0.8645754791064292,1.9865475239717938
2,0.21527149110229418,-2.6003278145400945,-1.5314566105159826,0.5664602616266158,-0.8249190512173794,1.383288697628494,1.8098093351028657
3,0.21044955533642629,-2.5923461040216704,-1.5156745620067245,0.4455266869592151,-0.7812833323361489,0.5477571530356715,1.8262556285463547
4,0.2126454322091339,-2.5875099354024464,-1.5156508417210235,0.37037360776731504,-0.8279899873433542,-0.4608469244484877,1.7665753946499942
5,0.21331856096737023,-2.583078131605666,-1.5158326856961581,0.5639756281004481,-0.77238376907482,2.5446065089857703,1.844335775619873
6,0.21383493595603253,-2.57841042027798,-1.5158996922337808,0.19971201365299432,-0.8697205483224504,1.2117956936212617,1.7087482364168751
7,0.2142663805779833,-2.5735816613162643,-1.5159164110900114,0.22405626112993668,-1.0166837972116034,-2.3877611565601744,1.556928643520594
8,0.21464453601208605,-2.568649789446038,-1.5159121096598847,0.16874999279539307,-0.6529761185940409,0.4371716498894451,1.9162233487494704
9,0.21498876434703315,-2.56365191069826,-1.5158983744168502,0.44266810417501085,-0.7464252630292325,-0.4458496405671111,1.8314340203193002
10,0.21531143026537522,-2.558612023048906,-1.515880237060887,0.22872105756761268,-0.6336737772198476,-2.2682216770508408,1.9249849527619267
11,0.2156199919914712,-2.5535457439744222,-1.5158597565815901,0.3544527960233916,-0.9444069974558531,2.79873716321471,1.6151167304633798
12,0.21591771213254293,-2.548462671694847,-1.5158374784635529,0.36780770437881716,-1.0376538491525722,2.36500938048871,1.5184247982748926
13,0.21620834365969424,-2.543368997425698,-1.5158140847688093,0.29524386822907506,-0.842686946204475,0.5672587303415766,1.7025175633425882
14,0.2164944824423233,-2.538268606068922,-1.5157900230228198,0.46831726108838767,-0.6820262887273618,-3.0596550302104073,1.87324591352406
15,0.21677779208908696,-2.533163961951948,-1.5157655474693905,0.3662352836042373,-1.0704514976189154,-1.2627443310118538,1.4703282950025867
16,0.21705933628152177,-2.5280566262631936,-1.5157408122676566,0.2342129981750088,-0.8508594793724874,-2.9119924027027357,1.6772848647903198
17,0.2173397950962982,-2.5229475876989196,-1.5157159125998798,0.4418174861765447,-0.8334116799485108,3.052537322179321,1.70438311930467
18,0.21761960384932566,-2.5178374724114163,-1.5156909080591898,0.4828560707660857,-0.9347133020591893,-1.064867505370223,1.6051892480751024
19,0.21789904146828398,-2.5127266769727714,-1.5156658362943647,0.317681626956794,-0.8014914420716458,-0.16373843532698254,1.7141419408945928
20,0.21817828683111745,-2.5076154525685777,-1.5156407212285803,0.29390478127097924,-0.9498153738441338,1.9657650588858493,1.5596395696551282
21,0.21845745473798522,-2.502503958309824,-1.5156155781207408,0.407531690442607,-0.6994612784957962,-1.0128136141036597,1.8129291138481498
22,0.21873661891048757,-2.4973922949916,-1.5155904167286396,0.31585059964352263,-0.8582940853426212,2.702605262479928,1.6419726143052156
23,0.21901582671412434,-2.4922805264714953,-1.5155652433045927,0.3640836891852267,-0.7924163680852054,0.7768649032963492,1.706043036294297
24,0.2192951085923826,-2.487168693208936,-1.51554006186189,0.39690882171433073,-0.8568915073364972,0.7865969514496244,1.639923880509435
25,0.21957448411753694,-2.4820568208406124,-1.5155148749814105,0.4087420931544747,-1.010902289078197,-1.9765869434787668,1.4832666788658888
26,0.21985396587452252,-2.476944925612352,-1.5154896843265098,0.4015087567143969,-0.775768817341957,0.9698586600567672,1.7108473381295846
27,0.22013356195557282,-2.4718330178200727,-1.5154644909721409,0.4289206146297643,-1.0335735407261557,0.042322393891395534,1.4533349086892682
